,Company,Major,City,State,Accept,CityState,lats,lons,County
223,PHILLIPS 66,CHE,St. Louis,MO,O,"('St. Louis', 'MO')",38.6270025,-90.19940419999999,St Louis
224,POLYMER SCIENCE,ME,Monticello,IN,O,"('Monticello', 'IN')",40.7453169,-86.7647343,White
225,PROCTER & GAMBLE,EE,Greensboro,NC,O,"('Greensboro', 'NC')",36.0726354,-79.7919754,Guilford
226,PROGRESSIVE INSURANCE,SE,Colorado Springs,CO,O,"('Colorado Springs', 'CO')",38.8338816,-104.8213634,El Paso
227,PROGRESSIVE INSURANCE,SE,Cleveland,OH,O,"('Cleveland', 'OH')",41.4994954,-81.6954088,Cuyahoga
228,POWER SYSTEMS MANUFACTURING,ME,Jupiter,FL,O,"('Jupiter', 'FL')",26.9342246,-80.0942087,Palm Beach
229,PULMODYNE,BE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
230,QUAKER CHEMCIAL,ME,Marion,IN,O,"('Marion', 'IN')",40.5583739,-85.6591442,Grant
231,QUALCOMM,EE,San Diego,CA,O,"('San Diego', 'CA')",32.7153292,-117.1572551,San Diego
232,RAYTHEON,ME,Tucson,AZ,O,"('Tucson', 'AZ')",32.2217429,-110.926479,Pima
233,RAYTHEON,EE,Fort Wayne,IN,O,"('Fort Wayne', 'IN')",41.079273,-85.1393513,Allen
234,RAYTHEON,BE,Columbia,MD,O,"('Columbia', 'MD')",39.2037144,-76.86104619999999,Howard
235,RAYTHEON,PHY,Baltimore,MD,O,"('Baltimore', 'MD')",39.2903848,-76.6121893,US
