,City,State,Major,Salary,CityState,lats,lons,County
265,Dallas,TX,EE,67008,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
266,Dallas,TX,EE,67000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
267,Dallas,TX,ME,60000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
268,Dallas,TX,EE,67000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
269,Dallas,TX,EE,67000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
270,Dallas,TX,EE,67000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
271,Phoenix,AZ,EE,67000,"('Phoenix', 'AZ')",33.4483771,-112.0740373,Maricopa
272,Dallas,TX,CHE,67000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
273,Phoenix,AZ,CPE,67000,"('Phoenix', 'AZ')",33.4483771,-112.0740373,Maricopa
274,Dallas,TX,EE,67000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
275,Phoenix,AZ,EE,67000,"('Phoenix', 'AZ')",33.4483771,-112.0740373,Maricopa
276,Dallas,TX,PHY,65800,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
277,Dallas,TX,EE,67000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
278,Princton,IN,ME,63000,"('Princton', 'IN')",38.3553236,-87.5675222,Gibson
279,Bremen,IN,ME,55000,"('Bremen', 'IN')",41.44643600000001,-86.14805799999999,Marshall
280,Des Plaines,IL,CHE,69000,"('Des Plaines', 'IL')",42.0333623,-87.88339909999999,Cook
281,Chicago,IL,CHE,71000,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
282,Des Plaines,IL,CHE BE,69000,"('Des Plaines', 'IL')",42.0333623,-87.88339909999999,Cook
